filename,cut_type,cut_number,bbox_number,bbox_data,polygon_data
UG3DQUERUNTERZUG.SGY,inline,1,0,"[564.8929443359375, 9.323530197143555, 606.5388793945312, 42.72050857543945]","[[575.4656372070312, 11.140625], [575.4656372070312, 15.584375381469727], [572.1328125, 18.91718864440918], [572.1328125, 20.028125762939453], [569.9109497070312, 22.25], [566.578125, 22.25], [566.578125, 36.69218826293945], [569.9109497070312, 36.69218826293945], [571.0218505859375, 35.58124923706055], [571.0218505859375, 34.470314025878906], [574.3546752929688, 31.137500762939453], [574.3546752929688, 30.02656364440918], [577.6875, 26.693750381469727], [577.6875, 25.582813262939453], [581.0203247070312, 22.25], [582.1312255859375, 22.25], [583.2421875, 21.139062881469727], [588.796875, 21.139062881469727], [589.9078369140625, 22.25], [591.0187377929688, 22.25], [596.5734252929688, 27.8046875], [596.5734252929688, 28.915624618530273], [598.7952880859375, 31.137500762939453], [598.7952880859375, 32.248435974121094], [601.0172119140625, 34.470314025878906], [601.0172119140625, 35.58124923706055], [606.5718994140625, 41.13593673706055], [606.5718994140625, 45.579689025878906], [609.9046630859375, 45.579689025878906], [609.9046630859375, 30.02656364440918], [606.5718994140625, 30.02656364440918], [604.3499755859375, 27.8046875], [604.3499755859375, 26.693750381469727], [603.2390747070312, 25.582813262939453], [603.2390747070312, 24.47187614440918], [602.1281127929688, 23.360937118530273], [602.1281127929688, 22.25], [601.0172119140625, 21.139062881469727], [601.0172119140625, 20.028125762939453], [599.90625, 18.91718864440918], [599.90625, 17.806249618530273], [596.5734252929688, 14.473437309265137], [596.5734252929688, 11.140625]]"
UG3DQUERUNTERZUG.SGY,inline,1,1,"[119.51518249511719, 7.599554538726807, 165.42333984375, 46.03461837768555]","[[133.3125, 6.696875095367432], [133.3125, 11.140625], [132.20156860351562, 12.25156307220459], [132.20156860351562, 13.362500190734863], [128.86874389648438, 16.6953125], [128.86874389648438, 17.806249618530273], [126.6468734741211, 20.028125762939453], [126.6468734741211, 21.139062881469727], [124.42500305175781, 23.360937118530273], [124.42500305175781, 24.47187614440918], [121.0921859741211, 27.8046875], [117.7593765258789, 27.8046875], [117.7593765258789, 44.46875], [121.0921859741211, 44.46875], [126.6468734741211, 38.9140625], [126.6468734741211, 37.803123474121094], [127.7578125, 36.69218826293945], [127.7578125, 35.58124923706055], [128.86874389648438, 34.470314025878906], [128.86874389648438, 33.359375], [131.0906219482422, 31.137500762939453], [131.0906219482422, 30.02656364440918], [133.3125, 27.8046875], [133.3125, 26.693750381469727], [138.8671875, 21.139062881469727], [139.97811889648438, 21.139062881469727], [141.0890655517578, 20.028125762939453], [144.421875, 20.028125762939453], [146.6437530517578, 22.25], [147.7546844482422, 22.25], [151.08749389648438, 25.582813262939453], [151.08749389648438, 26.693750381469727], [154.42031860351562, 30.02656364440918], [154.42031860351562, 31.137500762939453], [156.64218139648438, 33.359375], [156.64218139648438, 34.470314025878906], [161.0859375, 38.9140625], [161.0859375, 40.025001525878906], [163.3078155517578, 40.025001525878906], [164.4187469482422, 38.9140625], [164.4187469482422, 33.359375], [163.3078155517578, 32.248435974121094], [163.3078155517578, 27.8046875], [162.19686889648438, 26.693750381469727], [162.19686889648438, 25.582813262939453], [161.0859375, 24.47187614440918], [161.0859375, 23.360937118530273], [159.97500610351562, 22.25], [159.97500610351562, 20.028125762939453], [157.7531280517578, 17.806249618530273], [157.7531280517578, 16.6953125], [155.53125, 14.473437309265137], [155.53125, 13.362500190734863], [152.1984405517578, 10.029687881469727], [152.1984405517578, 6.696875095367432]]"
UG3DQUERUNTERZUG.SGY,inline,1,2,"[512.0293579101562, 8.925403594970703, 553.6428833007812, 42.000492095947266]","[[522.140625, 11.140625], [522.140625, 14.473437309265137], [518.8078002929688, 17.806249618530273], [518.8078002929688, 18.91718864440918], [516.5859375, 21.139062881469727], [513.2531127929688, 21.139062881469727], [513.2531127929688, 34.470314025878906], [516.5859375, 34.470314025878906], [519.9187622070312, 31.137500762939453], [519.9187622070312, 30.02656364440918], [523.2515869140625, 26.693750381469727], [523.2515869140625, 25.582813262939453], [526.5843505859375, 22.25], [527.6953125, 22.25], [529.9171752929688, 20.028125762939453], [535.4718627929688, 20.028125762939453], [538.8046875, 23.360937118530273], [539.9156494140625, 23.360937118530273], [542.1375122070312, 25.582813262939453], [542.1375122070312, 26.693750381469727], [546.5812377929688, 31.137500762939453], [546.5812377929688, 32.248435974121094], [548.8031005859375, 34.470314025878906], [548.8031005859375, 35.58124923706055], [549.9140625, 35.58124923706055], [552.1359252929688, 37.803123474121094], [552.1359252929688, 38.9140625], [556.5797119140625, 38.9140625], [556.5797119140625, 30.02656364440918], [553.2468872070312, 30.02656364440918], [551.0250244140625, 27.8046875], [551.0250244140625, 26.693750381469727], [549.9140625, 25.582813262939453], [549.9140625, 24.47187614440918], [548.8031005859375, 23.360937118530273], [548.8031005859375, 22.25], [547.6921997070312, 21.139062881469727], [547.6921997070312, 20.028125762939453], [546.5812377929688, 18.91718864440918], [546.5812377929688, 17.806249618530273], [544.359375, 15.584375381469727], [544.359375, 11.140625]]"
UG3DQUERUNTERZUG.SGY,inline,1,3,"[457.6700439453125, 9.530701637268066, 501.56414794921875, 46.08930969238281]","[[469.92657470703125, 11.140625], [469.92657470703125, 15.584375381469727], [466.59375, 18.91718864440918], [466.59375, 20.028125762939453], [464.37188720703125, 22.25], [464.37188720703125, 23.360937118530273], [462.1499938964844, 25.582813262939453], [462.1499938964844, 26.693750381469727], [458.81719970703125, 30.02656364440918], [455.484375, 30.02656364440918], [455.484375, 43.35781478881836], [458.81719970703125, 43.35781478881836], [464.37188720703125, 37.803123474121094], [464.37188720703125, 36.69218826293945], [466.59375, 34.470314025878906], [466.59375, 33.359375], [469.92657470703125, 30.02656364440918], [469.92657470703125, 28.915624618530273], [473.2593688964844, 25.582813262939453], [474.37030029296875, 25.582813262939453], [477.703125, 22.25], [478.8140563964844, 22.25], [479.92498779296875, 21.139062881469727], [483.2578125, 21.139062881469727], [484.3687438964844, 22.25], [485.47967529296875, 22.25], [493.2562561035156, 30.02656364440918], [493.2562561035156, 31.137500762939453], [495.4781188964844, 33.359375], [495.4781188964844, 34.470314025878906], [499.921875, 38.9140625], [503.25469970703125, 38.9140625], [503.25469970703125, 26.693750381469727], [499.921875, 26.693750381469727], [498.8109436035156, 25.582813262939453], [498.8109436035156, 24.47187614440918], [497.70001220703125, 23.360937118530273], [497.70001220703125, 22.25], [495.4781188964844, 20.028125762939453], [495.4781188964844, 18.91718864440918], [494.3671875, 17.806249618530273], [494.3671875, 16.6953125], [492.14532470703125, 14.473437309265137], [492.14532470703125, 11.140625]]"
UG3DQUERUNTERZUG.SGY,inline,1,4,"[520.1708374023438, 60.12672805786133, 594.2356567382812, 103.4223861694336]","[[543.2484130859375, 60.02187728881836], [543.2484130859375, 63.35468673706055], [534.3609619140625, 72.2421875], [534.3609619140625, 73.3531265258789], [533.25, 74.46406555175781], [533.25, 75.57499694824219], [532.1390380859375, 76.6859359741211], [532.1390380859375, 78.9078140258789], [531.0281372070312, 80.01875305175781], [531.0281372070312, 81.12968444824219], [529.9171752929688, 82.2406234741211], [529.9171752929688, 83.3515625], [528.8062744140625, 84.4625015258789], [528.8062744140625, 85.57344055175781], [525.4734497070312, 88.90625], [522.140625, 88.90625], [522.140625, 107.79219055175781], [525.4734497070312, 107.79219055175781], [525.4734497070312, 103.34843444824219], [529.9171752929688, 98.9046859741211], [529.9171752929688, 97.79374694824219], [531.0281372070312, 96.68281555175781], [531.0281372070312, 94.4609375], [532.1390380859375, 93.3499984741211], [532.1390380859375, 92.23905944824219], [533.25, 91.12812805175781], [533.25, 90.0171890258789], [538.8046875, 84.4625015258789], [539.9156494140625, 84.4625015258789], [548.8031005859375, 75.57499694824219], [549.9140625, 75.57499694824219], [551.0250244140625, 74.46406555175781], [552.1359252929688, 74.46406555175781], [553.2468872070312, 73.3531265258789], [555.46875, 73.3531265258789], [556.5797119140625, 72.2421875], [563.2453002929688, 72.2421875], [564.3562622070312, 73.3531265258789], [566.578125, 73.3531265258789], [567.6890869140625, 74.46406555175781], [568.7999877929688, 74.46406555175781], [569.9109497070312, 75.57499694824219], [571.0218505859375, 75.57499694824219], [579.9093627929688, 84.4625015258789], [581.0203247070312, 84.4625015258789], [583.2421875, 86.68437194824219], [583.2421875, 88.90625], [584.3531494140625, 90.0171890258789], [584.3531494140625, 91.12812805175781], [585.4640502929688, 91.12812805175781], [586.5750122070312, 92.23905944824219], [586.5750122070312, 94.4609375], [587.6859130859375, 95.5718765258789], [587.6859130859375, 96.68281555175781], [588.796875, 97.79374694824219], [588.796875, 96.68281555175781], [589.9078369140625, 95.5718765258789], [589.9078369140625, 94.4609375], [588.796875, 93.3499984741211], [588.796875, 90.0171890258789], [587.6859130859375, 88.90625], [587.6859130859375, 87.7953109741211], [585.4640502929688, 85.57344055175781], [585.4640502929688, 84.4625015258789], [584.3531494140625, 83.3515625], [584.3531494140625, 81.12968444824219], [583.2421875, 80.01875305175781], [583.2421875, 78.9078140258789], [582.1312255859375, 77.796875], [582.1312255859375, 75.57499694824219], [581.0203247070312, 74.46406555175781], [581.0203247070312, 73.3531265258789], [578.7984619140625, 71.1312484741211], [577.6875, 71.1312484741211], [575.4656372070312, 68.90937805175781], [575.4656372070312, 67.7984390258789], [574.3546752929688, 67.7984390258789], [571.0218505859375, 64.46562194824219], [571.0218505859375, 60.02187728881836]]"
UG3DQUERUNTERZUG.SGY,inline,1,5,"[403.03753662109375, 8.428356170654297, 446.272705078125, 45.478538513183594]","[[415.4906311035156, 6.696875095367432], [415.4906311035156, 10.029687881469727], [413.26873779296875, 12.25156307220459], [413.26873779296875, 13.362500190734863], [411.046875, 15.584375381469727], [411.046875, 16.6953125], [407.71405029296875, 20.028125762939453], [407.71405029296875, 21.139062881469727], [405.4921875, 23.360937118530273], [402.15936279296875, 23.360937118530273], [402.15936279296875, 42.24687576293945], [405.4921875, 42.24687576293945], [406.6031188964844, 41.13593673706055], [406.6031188964844, 40.025001525878906], [409.9359436035156, 36.69218826293945], [409.9359436035156, 35.58124923706055], [411.046875, 34.470314025878906], [411.046875, 33.359375], [412.1578063964844, 32.248435974121094], [412.1578063964844, 31.137500762939453], [413.26873779296875, 30.02656364440918], [413.26873779296875, 28.915624618530273], [419.93438720703125, 22.25], [421.0453186035156, 22.25], [422.15625, 21.139062881469727], [425.48907470703125, 21.139062881469727], [426.6000061035156, 22.25], [428.8218688964844, 22.25], [437.7093811035156, 31.137500762939453], [437.7093811035156, 32.248435974121094], [439.9312438964844, 34.470314025878906], [439.9312438964844, 35.58124923706055], [441.04217529296875, 36.69218826293945], [441.04217529296875, 37.803123474121094], [446.59686279296875, 43.35781478881836], [449.9296875, 43.35781478881836], [449.9296875, 31.137500762939453], [446.59686279296875, 31.137500762939453], [445.4859313964844, 30.02656364440918], [445.4859313964844, 28.915624618530273], [444.375, 27.8046875], [444.375, 26.693750381469727], [443.2640686035156, 25.582813262939453], [443.2640686035156, 24.47187614440918], [442.15313720703125, 23.360937118530273], [442.15313720703125, 22.25], [441.04217529296875, 21.139062881469727], [441.04217529296875, 20.028125762939453], [438.8203125, 17.806249618530273], [438.8203125, 16.6953125], [435.48748779296875, 13.362500190734863], [435.48748779296875, 12.25156307220459], [434.3765563964844, 11.140625], [434.3765563964844, 6.696875095367432]]"
UG3DQUERUNTERZUG.SGY,inline,1,6,"[573.47509765625, 54.32229995727539, 646.7252197265625, 103.33261108398438]","[[596.5734252929688, 55.578125], [596.5734252929688, 60.02187728881836], [595.4625244140625, 61.1328125], [594.3515625, 61.1328125], [589.9078369140625, 65.5765609741211], [589.9078369140625, 66.6875], [584.3531494140625, 72.2421875], [584.3531494140625, 74.46406555175781], [583.2421875, 75.57499694824219], [583.2421875, 77.796875], [582.1312255859375, 78.9078140258789], [582.1312255859375, 80.01875305175781], [578.7984619140625, 83.3515625], [575.4656372070312, 83.3515625], [575.4656372070312, 97.79374694824219], [578.7984619140625, 97.79374694824219], [579.9093627929688, 96.68281555175781], [579.9093627929688, 95.5718765258789], [581.0203247070312, 94.4609375], [581.0203247070312, 93.3499984741211], [582.1312255859375, 92.23905944824219], [582.1312255859375, 91.12812805175781], [583.2421875, 90.0171890258789], [583.2421875, 88.90625], [584.3531494140625, 87.7953109741211], [584.3531494140625, 86.68437194824219], [587.6859130859375, 83.3515625], [587.6859130859375, 82.2406234741211], [592.1296997070312, 77.796875], [593.2406005859375, 77.796875], [596.5734252929688, 74.46406555175781], [598.7952880859375, 74.46406555175781], [599.90625, 73.3531265258789], [601.0172119140625, 73.3531265258789], [602.1281127929688, 72.2421875], [604.3499755859375, 72.2421875], [605.4609375, 71.1312484741211], [606.5718994140625, 71.1312484741211], [607.6828002929688, 70.02030944824219], [614.3484497070312, 70.02030944824219], [615.4593505859375, 71.1312484741211], [618.7921752929688, 71.1312484741211], [622.125, 74.46406555175781], [623.2359619140625, 74.46406555175781], [632.1234130859375, 83.3515625], [632.1234130859375, 84.4625015258789], [634.3453369140625, 86.68437194824219], [634.3453369140625, 87.7953109741211], [635.4562377929688, 88.90625], [635.4562377929688, 90.0171890258789], [636.5671997070312, 91.12812805175781], [636.5671997070312, 92.23905944824219], [637.6781005859375, 93.3499984741211], [638.7890625, 92.23905944824219], [639.9000244140625, 92.23905944824219], [641.0109252929688, 91.12812805175781], [641.0109252929688, 83.3515625], [639.9000244140625, 82.2406234741211], [639.9000244140625, 80.01875305175781], [638.7890625, 78.9078140258789], [638.7890625, 76.6859359741211], [637.6781005859375, 75.57499694824219], [637.6781005859375, 74.46406555175781], [636.5671997070312, 73.3531265258789], [636.5671997070312, 72.2421875], [632.1234130859375, 67.7984390258789], [632.1234130859375, 66.6875], [627.6796875, 62.243751525878906], [626.5687255859375, 62.243751525878906], [624.3468627929688, 60.02187728881836], [624.3468627929688, 55.578125]]"
UG3DQUERUNTERZUG.SGY,inline,1,7,"[68.79751586914062, 10.285582542419434, 110.9325180053711, 45.583797454833984]","[[78.8765640258789, 11.140625], [78.8765640258789, 14.473437309265137], [77.765625, 15.584375381469727], [77.765625, 16.6953125], [75.54374694824219, 18.91718864440918], [75.54374694824219, 20.028125762939453], [72.2109375, 23.360937118530273], [68.87812805175781, 23.360937118530273], [68.87812805175781, 38.9140625], [72.2109375, 38.9140625], [74.43281555175781, 36.69218826293945], [74.43281555175781, 35.58124923706055], [76.6546859741211, 33.359375], [76.6546859741211, 32.248435974121094], [78.8765640258789, 30.02656364440918], [78.8765640258789, 28.915624618530273], [85.54219055175781, 22.25], [87.7640609741211, 22.25], [88.875, 21.139062881469727], [91.09687805175781, 21.139062881469727], [92.20780944824219, 22.25], [93.3187484741211, 22.25], [99.984375, 28.915624618530273], [99.984375, 30.02656364440918], [102.20625305175781, 32.248435974121094], [102.20625305175781, 33.359375], [104.4281234741211, 35.58124923706055], [104.4281234741211, 36.69218826293945], [107.76094055175781, 40.025001525878906], [107.76094055175781, 41.13593673706055], [108.87187194824219, 42.24687576293945], [112.2046890258789, 42.24687576293945], [112.2046890258789, 26.693750381469727], [108.87187194824219, 26.693750381469727], [106.6500015258789, 24.47187614440918], [106.6500015258789, 23.360937118530273], [105.5390625, 22.25], [105.5390625, 21.139062881469727], [103.31718444824219, 18.91718864440918], [103.31718444824219, 17.806249618530273], [101.0953140258789, 15.584375381469727], [101.0953140258789, 11.140625]]"
UG3DQUERUNTERZUG.SGY,inline,1,8,"[684.6221313476562, 13.070903778076172, 707.8807983398438, 36.81818389892578]","[[693.2249755859375, 11.140625], [693.2249755859375, 15.584375381469727], [692.1140747070312, 16.6953125], [692.1140747070312, 17.806249618530273], [689.8922119140625, 20.028125762939453], [686.5593872070312, 20.028125762939453], [686.5593872070312, 31.137500762939453], [689.8922119140625, 31.137500762939453], [691.0031127929688, 30.02656364440918], [691.0031127929688, 28.915624618530273], [697.6687622070312, 22.25], [698.7796630859375, 22.25], [699.890625, 21.139062881469727], [701.0015869140625, 21.139062881469727], [702.1124877929688, 20.028125762939453], [705.4453125, 20.028125762939453], [707.6671752929688, 22.25], [709.8890380859375, 22.25], [709.8890380859375, 11.140625]]"
UG3DQUERUNTERZUG.SGY,inline,1,9,"[638.8423461914062, 48.54492950439453, 711.0, 103.67256164550781]","[[668.7843627929688, 46.69062423706055], [668.7843627929688, 50.0234375], [666.5625, 52.24531173706055], [665.4515380859375, 52.24531173706055], [662.1187744140625, 55.578125], [661.0078125, 55.578125], [655.453125, 61.1328125], [655.453125, 62.243751525878906], [651.0093994140625, 66.6875], [651.0093994140625, 67.7984390258789], [648.7874755859375, 70.02030944824219], [648.7874755859375, 71.1312484741211], [647.6765747070312, 72.2421875], [647.6765747070312, 73.3531265258789], [646.5656127929688, 74.46406555175781], [646.5656127929688, 75.57499694824219], [644.34375, 77.796875], [644.34375, 78.9078140258789], [643.2327880859375, 80.01875305175781], [643.2327880859375, 81.12968444824219], [642.1218872070312, 82.2406234741211], [642.1218872070312, 83.3515625], [641.0109252929688, 84.4625015258789], [637.6781005859375, 84.4625015258789], [637.6781005859375, 107.79219055175781], [641.0109252929688, 107.79219055175781], [641.0109252929688, 104.4593734741211], [642.1218872070312, 103.34843444824219], [642.1218872070312, 102.23750305175781], [644.34375, 100.015625], [644.34375, 98.9046859741211], [645.4547119140625, 97.79374694824219], [645.4547119140625, 96.68281555175781], [646.5656127929688, 95.5718765258789], [646.5656127929688, 94.4609375], [647.6765747070312, 93.3499984741211], [647.6765747070312, 92.23905944824219], [651.0093994140625, 88.90625], [651.0093994140625, 87.7953109741211], [652.1203002929688, 86.68437194824219], [652.1203002929688, 85.57344055175781], [653.2312622070312, 84.4625015258789], [653.2312622070312, 83.3515625], [655.453125, 81.12968444824219], [655.453125, 80.01875305175781], [662.1187744140625, 73.3531265258789], [662.1187744140625, 72.2421875], [666.5625, 67.7984390258789], [667.6734619140625, 67.7984390258789], [668.7843627929688, 66.6875], [669.8953247070312, 66.6875], [671.0062255859375, 65.5765609741211], [674.3390502929688, 65.5765609741211], [675.4500122070312, 64.46562194824219], [677.671875, 64.46562194824219], [678.7828369140625, 65.5765609741211], [683.2265625, 65.5765609741211], [684.3375244140625, 66.6875], [685.4484252929688, 66.6875], [686.5593872070312, 67.7984390258789], [687.6702880859375, 67.7984390258789], [691.0031127929688, 71.1312484741211], [692.1140747070312, 71.1312484741211], [698.7796630859375, 77.796875], [698.7796630859375, 78.9078140258789], [699.890625, 78.9078140258789], [702.1124877929688, 81.12968444824219], [702.1124877929688, 82.2406234741211], [703.2234497070312, 83.3515625], [703.2234497070312, 84.4625015258789], [704.3343505859375, 85.57344055175781], [704.3343505859375, 87.7953109741211], [705.4453125, 88.90625], [705.4453125, 90.0171890258789], [707.6671752929688, 92.23905944824219], [707.6671752929688, 93.3499984741211], [709.8890380859375, 93.3499984741211], [709.8890380859375, 75.57499694824219], [707.6671752929688, 75.57499694824219], [703.2234497070312, 71.1312484741211], [703.2234497070312, 68.90937805175781], [702.1124877929688, 67.7984390258789], [702.1124877929688, 65.5765609741211], [701.0015869140625, 64.46562194824219], [701.0015869140625, 63.35468673706055], [697.6687622070312, 60.02187728881836], [697.6687622070312, 58.91093826293945], [695.4468994140625, 56.689064025878906], [694.3359375, 56.689064025878906], [688.78125, 51.134376525878906], [688.78125, 46.69062423706055]]"
